location_id,year,age_group_id,sex_id,mean
205,1970,149,2,1.34
205,1970,150,1,2.43
205,1970,150,2,0.94
205,1970,151,1,2.04
205,1970,151,2,0.53
205,1970,152,1,1.42
205,1970,152,2,0.31
205,1970,153,1,0.65
205,1970,153,2,0.1
205,1970,154,1,0.29
205,1970,154,2,0.04
202,1970,149,1,4
202,1970,149,2,2.72
202,1970,150,1,3.65
202,1970,150,2,1.77
202,1970,151,1,2.84
202,1970,151,2,1.03
202,1970,152,1,1.99
202,1970,152,2,0.55
202,1970,153,1,1.2
202,1970,153,2,0.22
202,1970,154,1,0.64
202,1970,154,2,0.09
171,1970,149,1,3.11
171,1970,149,2,1.95
171,1970,150,1,3.79
171,1970,150,2,1.84
171,1970,151,1,3.77
171,1970,151,2,1.5
171,1970,152,1,3.33
171,1970,152,2,0.97
171,1970,153,1,2.45
171,1970,153,2,0.51
171,1970,154,1,1.65
171,1970,154,2,0.21
170,1970,149,1,4.27
170,1970,149,2,3.04
170,1970,150,1,4.76
170,1970,150,2,2.61
170,1970,151,1,3.93
170,1970,151,2,1.62
170,1970,152,1,2.97
170,1970,152,2,0.81
170,1970,153,1,1.71
170,1970,153,2,0.29
170,1970,154,1,0.85
170,1970,154,2,0.12
125,1970,149,1,4.43
125,1970,149,2,4.38
125,1970,150,1,4.43
125,1970,150,2,3.98
125,1970,151,1,3.82
125,1970,151,2,3.23
125,1970,152,1,3.2
125,1970,152,2,2.63
125,1970,153,1,2.62
125,1970,153,2,2.13
125,1970,154,1,2.09
125,1970,154,2,1.66
176,1970,149,1,2.77
176,1970,149,2,1.96
176,1970,150,1,2.8
176,1970,150,2,1.54
176,1970,151,1,1.9
176,1970,151,2,0.63
176,1970,152,1,1.06
176,1970,152,2,0.17
176,1970,153,1,0.53
176,1970,153,2,0.06
176,1970,154,1,0.28
176,1970,154,2,0.03
203,1970,149,1,3.24
203,1970,149,2,2.73
203,1970,150,1,2.61
203,1970,150,2,1.74
203,1970,151,1,2.2
203,1970,151,2,1.01
203,1970,152,1,1.72
203,1970,152,2,0.48
203,1970,153,1,0.91
203,1970,153,2,0.2
203,1970,154,1,0.66
203,1970,154,2,0.13
126,1970,149,1,4.99
126,1970,149,2,5.26
126,1970,150,1,4.65
126,1970,150,2,4.69
126,1970,151,1,4.18
126,1970,151,2,3.97
126,1970,152,1,3.77
126,1970,152,2,3.45
126,1970,153,1,3.4
126,1970,153,2,3.12
126,1970,154,1,2.91
126,1970,154,2,2.62
109,1970,149,1,6.28
109,1970,149,2,6.47
109,1970,150,1,6.2
109,1970,150,2,5.93
109,1970,151,1,5.78
109,1970,151,2,5.18
109,1970,152,1,5.22
109,1970,152,2,4.44
109,1970,153,1,4.7
109,1970,153,2,3.76
109,1970,154,1,3.27
109,1970,154,2,2.61
77,1970,149,1,8.28
77,1970,149,2,7.69
77,1970,150,1,8.1
77,1970,150,2,7.04
77,1970,151,1,7.32
77,1970,151,2,5.84
77,1970,152,1,6.48
77,1970,152,2,4.48
77,1970,153,1,5.37
77,1970,153,2,3.12
77,1970,154,1,4.26
77,1970,154,2,2.03
47,1970,149,1,7.33
47,1970,149,2,6.88
47,1970,150,1,8.67
47,1970,150,2,7.89
47,1970,151,1,8.8
47,1970,151,2,7.49
47,1970,152,1,8.36
47,1970,152,2,6.65
47,1970,153,1,8.09
47,1970,153,2,6
47,1970,154,1,7.11
47,1970,154,2,5.07
81,1970,149,1,7.46
81,1970,149,2,7.06
81,1970,150,1,7.83
81,1970,150,2,6.95
81,1970,151,1,7.51
81,1970,151,2,6.51
81,1970,152,1,7.42
81,1970,152,2,6.09
81,1970,153,1,6.9
81,1970,153,2,5.24
81,1970,154,1,6.22
81,1970,154,2,4.54
177,1970,149,1,3.88
177,1970,149,2,1.57
177,1970,150,1,3.41
177,1970,150,2,0.99
177,1970,151,1,2.69
177,1970,151,2,0.53
177,1970,152,1,1.86
177,1970,152,2,0.3
177,1970,153,1,1.1
177,1970,153,2,0.15
177,1970,154,1,0.5
177,1970,154,2,0.04
110,1970,149,1,6.28
110,1970,149,2,6.51
110,1970,150,1,5.34
110,1970,150,2,5.33
110,1970,151,1,4.82
110,1970,151,2,4.57
110,1970,152,1,4.71
110,1970,152,2,4.14
110,1970,153,1,4.35
110,1970,153,2,3.59
110,1970,154,1,3.96
110,1970,154,2,3.16
78,1970,149,1,7.56
78,1970,149,2,7.01
78,1970,150,1,8.89
78,1970,150,2,8.36
78,1970,151,1,8.94
78,1970,151,2,8.22
78,1970,152,1,8.61
78,1970,152,2,7.6
78,1970,153,1,8.09
78,1970,153,2,6.83
78,1970,154,1,7.39
78,1970,154,2,6.02
111,1970,149,1,4.32
111,1970,149,2,4.58
111,1970,150,1,4.38
111,1970,150,2,4.12
111,1970,151,1,3.79
111,1970,151,2,3.19
111,1970,152,1,3
111,1970,152,2,2.35
111,1970,153,1,2.33
111,1970,153,2,1.74
111,1970,154,1,1.62
111,1970,154,2,1.2
139,1970,149,1,2.77
139,1970,149,2,3.61
139,1970,150,1,2.6
139,1970,150,2,2.34
139,1970,151,1,1.57
139,1970,151,2,1.01
139,1970,152,1,0.85
139,1970,152,2,0.32
139,1970,153,1,0.45
139,1970,153,2,0.14
139,1970,154,1,0.22
139,1970,154,2,0.04
122,1970,149,1,5.01
122,1970,149,2,4.83
122,1970,150,1,4.94
122,1970,150,2,4.4
122,1970,151,1,4.26
122,1970,151,2,3.49
122,1970,152,1,3.62
122,1970,152,2,2.79
122,1970,153,1,3.11
122,1970,153,2,2.34
122,1970,154,1,2.6
122,1970,154,2,1.89
141,1970,149,1,4.85
141,1970,149,2,3.04
141,1970,150,1,4.79
141,1970,150,2,2.49
141,1970,151,1,3.78
141,1970,151,2,1.6
141,1970,152,1,2.81
141,1970,152,2,1
141,1970,153,1,1.96
141,1970,153,2,0.58
141,1970,154,1,1.21
141,1970,154,2,0.28
178,1970,149,1,2.55
178,1970,149,2,1.6
178,1970,150,1,2.23
178,1970,150,2,0.97
178,1970,151,1,1.48
178,1970,151,2,0.56
178,1970,152,1,1.1
178,1970,152,2,0.24
178,1970,153,1,0.6
178,1970,153,2,0.08
178,1970,154,1,0.31
178,1970,154,2,0.03
92,1970,149,1,6.7
92,1970,149,2,6.37
92,1970,150,1,6.48
92,1970,150,2,5.84
92,1970,151,1,5.47
92,1970,151,2,4.48
92,1970,152,1,4.27
92,1970,152,2,3.38
92,1970,153,1,3.45
92,1970,153,2,2.52
92,1970,154,1,2.69
92,1970,154,2,1.88
58,1970,149,1,5.15
58,1970,149,2,5.33
58,1970,150,1,7.45
58,1970,150,2,7.29
58,1970,151,1,7.32
58,1970,151,2,7.27
58,1970,152,1,6.64
58,1970,152,2,6.54
58,1970,153,1,5.78
58,1970,153,2,5.42
58,1970,154,1,4.83
58,1970,154,2,3.69
179,1970,149,1,2.33
179,1970,149,2,1.47
179,1970,150,1,2.18
179,1970,150,2,0.91
179,1970,151,1,1.67
179,1970,151,2,0.44
179,1970,152,1,1.03
179,1970,152,2,0.18
179,1970,153,1,0.52
179,1970,153,2,0.07
179,1970,154,1,0.25
179,1970,154,2,0.03
79,1970,149,1,6.79
79,1970,149,2,6.53
79,1970,150,1,8.42
79,1970,150,2,8.16
79,1970,151,1,8.03
79,1970,151,2,7.61
79,1970,152,1,7.1
79,1970,152,2,6.46
79,1970,153,1,6.15
79,1970,153,2,5.4
79,1970,154,1,5.49
79,1970,154,2,4.49
22,1970,149,1,7.14
22,1970,149,2,6.27
22,1970,150,1,6.47
22,1970,150,2,5.34
22,1970,151,1,5.79
22,1970,151,2,4.38
22,1970,152,1,4.87
22,1970,152,2,3.64
22,1970,153,1,3.82
22,1970,153,2,2.92
22,1970,154,1,3.18
22,1970,154,2,2.26
80,1970,149,1,7.87
80,1970,149,2,7.64
80,1970,150,1,7.73
80,1970,150,2,7.12
80,1970,151,1,6.65
80,1970,151,2,6.31
80,1970,152,1,6.11
80,1970,152,2,5.51
